Fare_D,Fare_E,Fare_F,Fare_G
47,28,103,49
74,26,68,24
41,45,62,63
37,21,64,39
59,33,63,38
46,22,56,52
31,42,64,30
57,41,86,46
60,16,62,29
62,26,82,46
41,25,89,30
51,23,65,39
42,22,74,29
41,22,68,51
65,24,102,27
60,24,56,31
49,34,80,28
40,22,68,37
40,32,103,33
45,34,61,48
42,44,75,32
44,25,90,24
43,25,69,36
35,26,68,32
56,37,68,42
28,26,85,34
42,48,97,45
61,12,58,34
47,26,31,44
55,42,58,29
23,27,83,32
71,27,72,23
52,14,80,48
63,21,72,46
54,23,34,44
48,25,81,39
36,14,53,68
57,31,67,37
61,26,78,35
69,35,88,32
60,27,71,59
39,31,76,46
45,46,50,57
62,45,46,29
64,14,45,34
51,42,67,32
53,33,76,37
30,22,91,42
46,38,53,37
51,26,71,37
36,31,50,41
63,27,52,38
41,34,67,60
61,28,80,35
50,27,81,57
57,37,83,46
38,43,97,37
46,34,78,37
37,32,78,48
53,27,84,40
45,28,43,37
56,32,92,36
54,36,105,41
39,36,97,36
58,39,85,41
43,29,76,50
53,26,78,50
53,23,67,51
36,13,92,46
56,21,81,43
34,41,72,35
46,13,78,43
48,40,49,32
41,27,71,45
46,22,95,68
51,23,92,22
46,24,52,36
41,30,70,32
46,28,82,38
58,34,78,56
38,26,96,36
21,28,72,8
63,24,74,37
37,21,55,53
48,25,55,54
64,39,77,43
37,28,59,18
60,24,87,50
55,34,60,62
50,32,60,28
54,31,58,22
37,39,60,35
64,21,59,30
66,45,81,49
44,45,74,50
48,27,94,46
64,32,57,32
51,24,53,54
44,31,74,32
64,21,73,42
49,19,83,48
43,35,75,24
41,39,74,33
41,25,63,29
32,39,84,24
51,22,66,35
45,46,63,30
42,38,45,30
64,31,72,65
52,24,65,26
62,34,86,54
45,22,69,29
51,39,67,41
49,36,59,13
54,37,76,32
38,33,72,38
68,22,96,40
31,28,84,35
35,28,57,45
57,21,59,49
41,21,52,44
53,24,70,58
40,14,76,38
42,35,82,13
43,48,78,48
61,30,81,48
55,27,72,32
50,20,58,36
40,25,67,44
59,26,90,51
55,31,74,54
62,40,70,46
63,25,65,40
58,37,66,21
52,22,47,24
53,40,70,42
61,17,77,39
55,26,57,41
66,36,62,23
33,40,55,36
63,17,92,36
38,28,59,45
43,14,66,23
52,20,62,42
47,32,80,26
49,3,73,36
40,32,87,34
40,31,49,32
62,30,41,18
51,36,45,45
63,45,74,46
28,46,61,28
47,42,103,41
59,30,54,57
43,42,89,47
68,47,67,30
31,47,63,53
42,42,59,25
47,25,78,39
56,27,60,32
70,31,40,33
50,44,85,28
74,29,88,26
26,18,21,65
52,22,76,42
56,39,65,29
58,36,71,66
45,22,76,31
54,23,63,62
45,23,87,27
43,34,84,54
42,34,63,32
62,25,74,41
39,37,78,16
52,23,86,22
46,32,70,49
34,43,77,56
58,29,50,33
65,41,60,6
47,27,66,46
58,37,76,18
46,48,75,44
53,33,34,37
49,40,70,20
54,23,51,29
55,40,77,47
54,30,80,10
51,21,87,38
50,17,85,47
55,23,58,42
43,33,37,34
67,33,72,63
26,23,63,50
58,23,84,35
62,21,68,34
60,25,69,46
55,37,73,34
46,30,73,38
50,17,80,42
60,30,43,35
48,35,38,40
55,24,71,32
42,26,59,48
42,22,96,51
31,23,73,43
35,39,82,45
63,33,76,58
61,23,79,32
55,33,49,38
52,26,74,49
49,31,90,45
52,22,80,43
62,30,42,19
57,25,76,41
48,29,57,39
44,27,65,37
59,28,85,58
58,34,74,50
50,37,79,35
58,30,68,34
51,37,83,44
55,40,67,26
63,25,59,18
55,17,58,47
57,24,67,29
44,32,62,37
35,39,77,49
62,23,64,17
81,28,85,25
59,44,69,27
48,12,69,49
49,27,77,47
33,30,106,23
49,45,86,33
52,29,58,39
47,30,58,24
49,43,71,36
57,28,98,39
57,23,77,43
49,25,60,43
56,28,74,39
50,28,70,72
53,35,76,36
62,27,85,35
40,32,53,46
38,27,48,73
33,30,87,52
58,27,90,50
52,31,65,29
62,40,56,38
48,29,70,51
42,23,88,34
37,26,65,58
59,39,82,51
43,28,55,37
56,31,89,26
55,20,71,48
47,34,55,20
55,43,55,54
50,19,53,40
45,19,44,29
51,29,62,42
60,33,68,51
40,28,66,25
45,13,98,28
65,30,78,34
52,35,79,49
46,26,46,46
60,42,74,30
33,38,43,35
47,29,70,41
25,30,36,48
44,12,57,33
61,31,75,54
49,36,80,24
64,18,83,21
56,44,66,36
56,27,97,42
46,25,56,32
46,26,60,65
39,31,78,47
49,28,76,43
47,17,62,26
43,30,75,61
44,36,74,55
55,21,44,43
44,22,50,41
65,26,78,38
37,35,53,40
46,37,54,44
41,25,15,65
55,23,53,34
57,14,67,61
38,30,103,47
51,34,63,55
46,14,64,28
47,27,87,48
52,29,54,13
51,36,68,33
54,29,95,54
59,36,50,47
53,34,77,45
77,29,84,34
57,37,75,60
41,26,73,50
51,40,60,26
53,29,78,39
46,29,70,36
47,26,82,42
72,31,61,72
